user_id,transaction_amount,merchant_category,payment_method,hour_of_day,day_of_week,is_weekend,device_type,balance_before,balance_after,transaction_gap_minutes,is_recurring,upi_app,merchant_popularity,network_latency,failed_transaction_attempts
U163,140.78,bills,UPI,23,2,0,android,47585.001014085894,47444.221014085895,79.00474161272696,0,GPay,0.5986584841970366,264.8769937914996,0
U023,603.37,food,card,16,4,0,android,30454.635575417233,29851.265575417234,73.87500370227542,0,PhonePe,0.020584494295802447,264.8794564576229,2
U001,60.2,fuel,wallet,5,5,1,ios,9986.820982818257,9926.620982818256,21.765223767628626,0,GPay,0.5247564316322378,41.26232512304506,0
U088,45.07,recharge,card,1,5,1,android,15315.08777822569,15270.01777822569,27.376633093250824,0,Paytm,0.45606998421703593,215.6568706138541,1
U147,216.61,bills,wallet,2,0,0,android,30028.31387424008,29811.70387424008,2.8538309853845125,0,PhonePe,0.6075448519014384,209.96192248411324,0
U094,345.83,groceries,card,21,2,0,android,22567.472193240465,22221.642193240463,7.809134037266919,0,PhonePe,0.4951769101112702,442.11597315699584,0
U142,720.13,food,UPI,10,6,1,android,13680.219098400828,12960.08909840083,65.17534791389882,1,Paytm,0.31171107608941095,716.7469562328661,0
U167,1047.84,travel,wallet,20,3,0,android,38981.508344694616,37933.66834469462,168.30566515749493,0,Paytm,0.8948273504276488,479.0459586423476,0
U092,764.83,recharge,UPI,4,4,0,android,5336.132600544055,4571.302600544055,13.088081677876048,0,Paytm,0.045227288910538066,148.63719857023386,0
U097,529.37,shopping,card,14,4,0,android,18480.913007985873,17951.543007985874,19.788170408054953,0,PhonePe,0.5426960831582485,62.50586796946689,0
U075,486.15,shopping,card,14,0,0,android,4652.9815403087705,4166.831540308771,260.0487803752392,0,Paytm,0.7722447692966574,387.31841920695587,0
U095,442.56,rent,UPI,17,6,1,ios,4628.187934970428,4185.627934970427,26.633560344973947,0,PhonePe,0.11586905952512971,433.1622689390036,1
U145,120.55,recharge,UPI,2,5,1,android,4114.359164015158,3993.809164015158,22.349301024621223,0,PhonePe,0.32518332202674705,421.87887335912967,1
U054,38.21,bills,card,23,5,1,ios,35948.99457392676,35910.78457392676,85.82356518461185,0,Paytm,0.5612771975694962,503.4360042856234,1
U016,221.9,bills,card,18,4,0,,21949.509899568933,21727.60989956893,1.5448664394068237,1,GPay,0.10789142699330445,313.05706023572566,0
U018,213.13,recharge,UPI,8,5,1,android,45470.75722237856,45257.62722237856,17.2043293789979,0,GPay,0.41038292303562973,255.1488974301199,1
U048,24.03,entertainment,wallet,21,3,0,ios,15197.821192774632,15173.791192774632,10.54850151000377,0,Paytm,0.9296976523425731,375.2172497287208,1
U086,61.95,bills,UPI,3,1,0,ios,44735.39092600891,44673.440926008916,46.50599411797032,0,GPay,0.8074401551640625,473.72799793980414,1
U140,34.98,food,UPI,20,4,0,android,12168.822964555142,12133.842964555142,33.42346156491686,0,PhonePe,0.8180147659224931,-98.27640713452053,0
U000,38.3,recharge,wallet,8,6,1,ios,17543.14339877777,17504.84339877777,171.787267361469,0,Paytm,0.32320293202075523,351.82769158331496,0
U075,364.23,rent,UPI,1,4,0,ios,18817.850516585404,18453.620516585404,214.06788829750198,0,Paytm,0.9624472949421112,297.21737932325397,0
U020,100.57,groceries,card,2,4,0,android,2807.460420372107,2706.8904203721067,56.42952425895559,0,Paytm,0.5026790232288615,48.97430670146653,0
U107,97.99,entertainment,wallet,18,4,0,android,45505.02841236603,45407.03841236603,16.431633128524624,0,GPay,0.1448948720912231,350.9731446279966,0
U080,334.55,recharge,,2,0,0,android,38319.361151107165,37984.81115110716,16.27999034014835,0,PhonePe,0.7282163486118596,298.89297750831406,0
U094,300.15,rent,card,14,6,1,ios,32042.95582728384,31742.80582728384,46.043114997140925,0,GPay,0.0902897700544083,225.985127669501,0
U169,12.49,groceries,UPI,4,2,0,android,29953.75421622385,29941.264216223848,67.91110405604093,0,GPay,0.016587828927856152,438.4743912512929,0
U129,77.05,fuel,wallet,1,0,0,,32613.466730063043,32536.416730063043,11.496253352348026,0,PhonePe,0.690937738102466,393.08223239426025,0
U180,125.14,groceries,card,0,0,0,android,6560.202540788864,6435.062540788864,155.17142382904342,0,GPay,0.877339353380981,275.8593934705405,0
U093,323.63,bills,card,1,2,0,android,41043.887809859574,40720.25780985958,48.607941641190486,0,PhonePe,0.5296505783560065,251.326356325666,2
U060,124.21,food,UPI,5,3,0,ios,18111.269156020382,17987.059156020383,77.66792578362708,0,Paytm,0.8971102599525771,269.11999243567425,1
U179,308.19,recharge,UPI,1,6,1,android,5122.8582847573925,4814.668284757393,10.57765288100469,0,GPay,0.8985541885270792,343.9608709948022,0
U102,52.59,shopping,wallet,2,6,1,ios,27887.95567896272,27835.36567896272,70.63891719928876,0,GPay,0.6519612595026005,192.84728729604484,0
U045,373.63,groceries,card,8,0,0,ios,12625.205287343204,12251.575287343205,23.618094535085067,0,Paytm,0.7464914051180241,444.5064193866483,0
U048,252.01,food,card,22,3,0,android,5590.063623576531,5338.053623576531,27.5049784324212,0,PhonePe,0.26520236768172545,361.91713904047475,0
U031,1083.69,shopping,card,9,4,0,ios,20261.78850867126,19178.09850867126,133.56331267491137,0,GPay,0.6311386259972629,301.95028378168604,0
U173,203.49,health,wallet,5,4,0,ios,10566.906402104181,-10363.416402104182,76.90570818394822,0,PhonePe,0.2807723624408558,518.0301115735975,0
U082,311.09,bills,card,14,5,1,ios,9678.423290945399,9367.333290945398,169.26498883639817,0,Paytm,0.9539285770025874,266.4805822011224,0
U162,790.66,bills,card,2,6,1,ios,21981.0232675484,21190.3632675484,204.05052096732337,1,GPay,0.9636199770892528,407.1000741138138,1
U196,145.89,health,UPI,13,5,1,ios,42705.69690432599,42559.80690432599,22.868773885843023,0,GPay,0.1694927466860925,406.51638605459306,0
U027,253.23,rent,wallet,7,1,0,android,5761.648194767658,5508.418194767659,57.27184293106306,0,GPay,0.9900538501042633,313.87183073266453,0
U143,219.15,rent,wallet,14,4,0,ios,43991.28052446982,43772.130524469816,81.0020549012202,0,PhonePe,0.697015740995268,156.14878553598317,0
U070,497.21,bills,wallet,16,3,0,ios,40695.55633927986,40198.34633927986,121.07700284207489,0,PhonePe,0.9132405525564713,507.3006906257915,0
U038,208.86,bills,UPI,22,1,0,ios,40116.463769371985,39907.603769371985,62.983144493268014,0,GPay,0.7019668772577033,334.8444237264607,0
U197,141.28,health,wallet,22,0,0,,5605.115052202581,5463.835052202581,51.80484159656608,0,PhonePe,0.035942273796742086,326.4271383078482,0
U154,234.69,shopping,wallet,15,1,0,,15040.521354285936,14805.831354285936,53.61795180877051,0,PhonePe,0.03050024993904943,166.03195895561655,0
U032,440.89,fuel,card,17,0,0,android,11575.230347345316,11134.340347345316,58.513177119389574,0,GPay,0.085347464993768,249.77741289078995,0
U054,227.37,fuel,wallet,10,6,1,ios,27491.12095889522,27263.75095889522,60.872246892276955,1,Paytm,0.7260913337226615,302.27149173897965,0
U057,475.7,food,UPI,20,0,0,android,14270.780311841636,13795.080311841635,34.67900587639808,0,PhonePe,0.07845638134226596,366.31110253000975,0
U055,986.21,entertainment,UPI,8,6,1,android,41963.02590509808,40976.81590509808,71.4385639679605,0,Paytm,0.4089529444142699,1249.3146816372243,0
U173,239.04,bills,UPI,12,3,0,android,36015.200212303054,35776.16021230305,64.76342098180791,0,Paytm,0.27993389694594284,252.32296402341248,1
U144,242.47,fuel,card,11,4,0,ios,30974.31656548326,30731.846565483258,32.642271931923084,1,PhonePe,0.24773098950115746,490.0366723779934,0
U092,37.01,travel,wallet,14,5,1,android,3254.1294590658845,3217.1194590658843,2.4948871150375456,0,Paytm,0.8554605840110072,193.84958015718288,0
U187,192.84,bills,UPI,10,6,1,ios,5793.873871899073,5601.033871899072,40.591077947833995,0,Paytm,0.4734717707805657,262.114777291026,0
U126,287.02,bills,wallet,5,3,0,ios,32119.588892514545,31832.568892514544,2.7817394412320837,0,PhonePe,0.3746126146264712,112.83252270527257,0
U048,209.83,recharge,card,23,3,0,android,42968.00221822779,42758.17221822779,64.49848584329987,0,GPay,0.1629344270814297,329.8589543360205,0
U177,264.4,entertainment,wallet,21,4,0,ios,47071.281829822925,46806.88182982292,51.40694673465267,0,Paytm,0.3881699262065219,209.9674684261808,0
U059,183.89,groceries,card,6,2,0,android,27735.22267648081,27551.33267648081,170.28762877397995,0,Paytm,0.38610263780077425,342.1487801602549,0
U072,115.25,bills,wallet,6,2,0,android,42398.89023750327,42283.64023750327,1.4128201908426905,0,GPay,0.8144684825889358,206.59507202691094,0
U178,37.73,recharge,UPI,20,6,1,android,35140.12110284338,35102.39110284338,59.48395058599322,0,GPay,0.877472013527053,421.929317825844,0
U122,58.6,recharge,UPI,2,3,0,android,37780.122830402055,37721.52283040206,98.65255099460518,0,GPay,0.9905051420006733,394.44432628854184,0
U195,139.57,health,UPI,19,6,1,ios,39044.23507635784,38904.665076357844,25.004020255845187,0,PhonePe,0.9307573256035647,267.34781951591697,1
U156,32.65,bills,card,3,6,1,android,45225.09242729877,45192.44242729877,42.22244938540526,0,Paytm,0.8264574661077416,464.8165277980785,6
U176,677.64,bills,wallet,9,0,0,ios,20070.882257973994,19393.242257973994,0.6538083969105287,0,PhonePe,0.9053819764192637,259.3439306567186,2
U169,299.77,groceries,card,6,3,0,android,22973.830576937668,22674.060576937667,20.82136672477182,0,GPay,0.32866454536991596,208.0357975637433,0
U152,418.75,recharge,UPI,18,2,0,ios,39787.373142566576,39368.623142566576,93.52986191092451,0,Paytm,0.09120610304869037,195.12801328621242,0
U153,174.77,entertainment,card,13,5,1,,44497.50495515669,44322.734955156695,25.931497168073104,0,Paytm,0.11706701642760586,298.67744306312886,0
U195,430.03,food,UPI,8,4,0,ios,31292.68510249679,30862.655102496792,6.396522734723127,0,Paytm,0.08410680611499743,235.00448896461597,1
U023,25.45,entertainment,card,13,2,0,android,5157.047990174404,5131.597990174404,258.9275137234855,0,PhonePe,0.3742707957561203,330.5734091291201,0
U194,502.67,entertainment,wallet,14,0,0,ios,47415.180291809076,46912.51029180908,256.12643637611905,0,GPay,0.7533781852589416,192.2333668121346,1
U105,165.61,health,wallet,16,2,0,ios,45411.364869642064,45245.75486964206,7.072812478312815,0,PhonePe,0.49262510429085915,267.9829272432229,0
U031,189.71,bills,card,20,4,0,android,3758.86050841003,3569.15050841003,7.589459755870273,0,GPay,0.11752624677710488,490.6707338971372,0
